49.94133,229.79996,-645.11670
48.89362,228.75223,-644.78040
48.54437,229.10147,-644.10767
47.84590,229.79996,-644.78040
47.14742,228.40300,-646.12573
48.89362,225.25983,-645.78943
48.54437,224.21211,-645.78943
48.71899,229.27609,-644.27582
47.49666,229.79996,-643.77130
48.89362,228.40300,-643.43494
48.36975,229.27609,-644.61218
50.29057,229.79996,-645.78943
47.84590,228.05376,-645.11670
49.24286,229.45071,-643.43494
48.19513,227.70451,-643.77130
48.36975,228.57762,-644.61218
48.71899,229.62534,-644.94855
48.19513,229.45071,-643.43494
48.71899,230.32382,-643.93945
48.71899,228.92685,-643.60315
46.62355,229.27609,-642.93042
48.54437,229.45071,-644.10767
48.89362,229.10147,-644.78040
47.49666,231.19691,-644.10767
49.41748,229.97458,-646.29395
48.19513,230.14920,-644.10767
48.02052,231.02229,-643.26678
49.06824,231.02229,-644.94855
47.84590,229.45071,-643.77130
47.49666,230.14920,-644.44403
44.00426,234.34007,-648.14386
43.65501,235.38780,-649.15289
48.36975,229.27609,-644.94855
48.54437,229.45071,-644.10767
48.71899,228.57762,-644.94855
48.89362,229.10147,-643.77130
48.19513,226.65680,-644.44403
49.41748,229.62534,-643.26678
48.89362,230.14920,-644.10767
48.89362,229.10147,-643.09863
48.89362,229.10147,-643.09863
49.41748,229.62534,-644.27582
48.54437,228.05376,-644.78040
49.76672,227.87914,-644.94855
49.41748,228.92685,-645.62122
48.19513,228.05376,-643.77130
48.36975,229.97458,-644.94855
49.06824,228.92685,-645.28491
49.94133,228.75223,-644.78040
48.19513,228.05376,-643.77130
48.89362,228.75223,-643.09863
48.19513,229.10147,-644.78040
48.71899,229.62534,-644.27582
48.19513,228.75223,-643.77130
47.49666,228.75223,-644.44403
49.24286,229.10147,-643.09863
48.02052,228.22838,-645.28491
47.49666,228.40300,-644.44403
47.67128,229.62534,-643.60315
48.19513,230.49843,-644.44403
49.76672,229.62534,-645.62122
47.49666,229.45071,-644.10767
49.41748,229.97458,-644.61218
48.02052,229.97458,-644.94855
49.06824,229.62534,-643.26678
48.71899,230.32382,-643.26678
48.54437,228.75223,-643.43494
48.54437,228.05376,-643.43494
48.36975,228.92685,-644.61218
47.84590,230.84767,-644.10767
49.24286,229.10147,-643.77130
48.54437,229.10147,-644.44403
49.24286,228.75223,-644.10767
48.89362,228.40300,-644.78040
48.54437,227.70451,-644.10767
48.36975,228.57762,-643.26678
48.71899,229.62534,-643.93945
48.89362,229.10147,-644.44403
47.14742,228.05376,-645.45306
